"Absolute way";"Relative way";"Class"
"E:/dataset/polarbears_0000.jpg";"dataset/another_dataset/polarbears_0000.jpg";"polarbears"
"E:/dataset/polarbears_0001.jpg";"dataset/another_dataset/polarbears_0001.jpg";"polarbears"
"E:/dataset/polarbears_0002.jpg";"dataset/another_dataset/polarbears_0002.jpg";"polarbears"
"E:/dataset/polarbears_0003.jpg";"dataset/another_dataset/polarbears_0003.jpg";"polarbears"
"E:/dataset/polarbears_0004.jpg";"dataset/another_dataset/polarbears_0004.jpg";"polarbears"
"E:/dataset/polarbears_0005.jpg";"dataset/another_dataset/polarbears_0005.jpg";"polarbears"
"E:/dataset/polarbears_0006.jpg";"dataset/another_dataset/polarbears_0006.jpg";"polarbears"
"E:/dataset/polarbears_0007.jpg";"dataset/another_dataset/polarbears_0007.jpg";"polarbears"
"E:/dataset/polarbears_0008.jpg";"dataset/another_dataset/polarbears_0008.jpg";"polarbears"
"E:/dataset/polarbears_0009.jpg";"dataset/another_dataset/polarbears_0009.jpg";"polarbears"
"E:/dataset/polarbears_0010.jpg";"dataset/another_dataset/polarbears_0010.jpg";"polarbears"
"E:/dataset/polarbears_0011.jpg";"dataset/another_dataset/polarbears_0011.jpg";"polarbears"
"E:/dataset/polarbears_0012.jpg";"dataset/another_dataset/polarbears_0012.jpg";"polarbears"
"E:/dataset/polarbears_0013.jpg";"dataset/another_dataset/polarbears_0013.jpg";"polarbears"
"E:/dataset/polarbears_0014.jpg";"dataset/another_dataset/polarbears_0014.jpg";"polarbears"
"E:/dataset/polarbears_0015.jpg";"dataset/another_dataset/polarbears_0015.jpg";"polarbears"
"E:/dataset/polarbears_0016.jpg";"dataset/another_dataset/polarbears_0016.jpg";"polarbears"
"E:/dataset/polarbears_0017.jpg";"dataset/another_dataset/polarbears_0017.jpg";"polarbears"
"E:/dataset/polarbears_0018.jpg";"dataset/another_dataset/polarbears_0018.jpg";"polarbears"
"E:/dataset/polarbears_0019.jpg";"dataset/another_dataset/polarbears_0019.jpg";"polarbears"
"E:/dataset/polarbears_0020.jpg";"dataset/another_dataset/polarbears_0020.jpg";"polarbears"
"E:/dataset/polarbears_0021.jpg";"dataset/another_dataset/polarbears_0021.jpg";"polarbears"
"E:/dataset/polarbears_0022.jpg";"dataset/another_dataset/polarbears_0022.jpg";"polarbears"
"E:/dataset/polarbears_0023.jpg";"dataset/another_dataset/polarbears_0023.jpg";"polarbears"
"E:/dataset/polarbears_0024.jpg";"dataset/another_dataset/polarbears_0024.jpg";"polarbears"
"E:/dataset/polarbears_0025.jpg";"dataset/another_dataset/polarbears_0025.jpg";"polarbears"
"E:/dataset/polarbears_0026.jpg";"dataset/another_dataset/polarbears_0026.jpg";"polarbears"
"E:/dataset/polarbears_0027.jpg";"dataset/another_dataset/polarbears_0027.jpg";"polarbears"
"E:/dataset/polarbears_0028.jpg";"dataset/another_dataset/polarbears_0028.jpg";"polarbears"
