Absolute_way Class
E:\dataset/polarbears/0000.jpg polarbears
E:\dataset/polarbears/0001.jpg polarbears
E:\dataset/polarbears/0002.jpg polarbears
E:\dataset/polarbears/0003.jpg polarbears
E:\dataset/polarbears/0004.jpg polarbears
E:\dataset/polarbears/0005.jpg polarbears
E:\dataset/polarbears/0006.jpg polarbears
E:\dataset/polarbears/0007.jpg polarbears
E:\dataset/polarbears/0008.jpg polarbears
E:\dataset/polarbears/0009.jpg polarbears
E:\dataset/polarbears/0010.jpg polarbears
E:\dataset/polarbears/0011.jpg polarbears
E:\dataset/polarbears/0012.jpg polarbears
E:\dataset/polarbears/0013.jpg polarbears
E:\dataset/polarbears/0014.jpg polarbears
E:\dataset/polarbears/0015.jpg polarbears
E:\dataset/polarbears/0016.jpg polarbears
E:\dataset/polarbears/0017.jpg polarbears
E:\dataset/polarbears/0018.jpg polarbears
E:\dataset/polarbears/0019.jpg polarbears
E:\dataset/polarbears/0020.jpg polarbears
E:\dataset/polarbears/0021.jpg polarbears
E:\dataset/polarbears/0022.jpg polarbears
E:\dataset/polarbears/0023.jpg polarbears
E:\dataset/polarbears/0024.jpg polarbears
E:\dataset/polarbears/0025.jpg polarbears
E:\dataset/polarbears/0026.jpg polarbears
E:\dataset/polarbears/0027.jpg polarbears
E:\dataset/polarbears/0028.jpg polarbears
E:\dataset/polarbears/0029.jpg polarbears
E:\dataset/polarbears/0030.jpg polarbears
E:\dataset/polarbears/0031.jpg polarbears
E:\dataset/polarbears/0032.jpg polarbears
E:\dataset/polarbears/0033.jpg polarbears
E:\dataset/polarbears/0034.jpg polarbears
E:\dataset/polarbears/0035.jpg polarbears
E:\dataset/polarbears/0036.jpg polarbears
E:\dataset/polarbears/0037.jpg polarbears
E:\dataset/polarbears/0038.jpg polarbears
E:\dataset/polarbears/0039.jpg polarbears
E:\dataset/polarbears/0040.jpg polarbears
E:\dataset/polarbears/0041.jpg polarbears
E:\dataset/polarbears/0042.jpg polarbears
E:\dataset/polarbears/0043.jpg polarbears
E:\dataset/polarbears/0044.jpg polarbears
E:\dataset/polarbears/0045.jpg polarbears
E:\dataset/polarbears/0046.jpg polarbears
E:\dataset/polarbears/0047.jpg polarbears
E:\dataset/polarbears/0048.jpg polarbears
E:\dataset/polarbears/0049.jpg polarbears
E:\dataset/polarbears/0050.jpg polarbears
E:\dataset/polarbears/0051.jpg polarbears
E:\dataset/polarbears/0052.jpg polarbears
E:\dataset/polarbears/0053.jpg polarbears
E:\dataset/polarbears/0054.jpg polarbears
E:\dataset/polarbears/0055.jpg polarbears
E:\dataset/polarbears/0056.jpg polarbears
E:\dataset/polarbears/0057.jpg polarbears
E:\dataset/polarbears/0058.jpg polarbears
E:\dataset/polarbears/0059.jpg polarbears
E:\dataset/polarbears/0060.jpg polarbears
E:\dataset/polarbears/0061.jpg polarbears
E:\dataset/polarbears/0062.jpg polarbears
E:\dataset/polarbears/0063.jpg polarbears
E:\dataset/polarbears/0064.jpg polarbears
E:\dataset/polarbears/0065.jpg polarbears
E:\dataset/polarbears/0066.jpg polarbears
E:\dataset/polarbears/0067.jpg polarbears
E:\dataset/polarbears/0068.jpg polarbears
E:\dataset/polarbears/0069.jpg polarbears
E:\dataset/polarbears/0070.jpg polarbears
E:\dataset/polarbears/0071.jpg polarbears
E:\dataset/polarbears/0072.jpg polarbears
E:\dataset/polarbears/0073.jpg polarbears
E:\dataset/polarbears/0074.jpg polarbears
E:\dataset/polarbears/0075.jpg polarbears
E:\dataset/polarbears/0076.jpg polarbears
E:\dataset/polarbears/0077.jpg polarbears
E:\dataset/polarbears/0078.jpg polarbears
E:\dataset/polarbears/0079.jpg polarbears
E:\dataset/polarbears/0080.jpg polarbears
E:\dataset/polarbears/0081.jpg polarbears
E:\dataset/polarbears/0082.jpg polarbears
